site_name,catchment,catchment_confidence,merge_rule_applied,method_1_catchment,method_1_confidence,method_2_catchment,method_2_confidence,transmission_catchment,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags,notes
Emeroo BESS (Bungala),EYR,high,boundary_swap_m1_review,MN,review,EYR,high,MN,"Mid-North SA REZ corridor (Robertstown/Davenport/Cultana) — shared keyword across REZs: ['EYR', 'MN']; primary assignment based on substation locality",Bungala,,,,,,,,
George Town Battery System,TAS-NW,high,no_coord_m1_backstop,TAS-NW,high,,,TAS-NW,Tasmania single catchment (NW Transmission Devs + Central Highlands hydro) — single user-specified catchment covers all TAS1 sites,(TAS region),,,,,,,,
George Town Solar Farm,TAS-NW,high,no_coord_m1_backstop,TAS-NW,high,,,TAS-NW,Tasmania single catchment (NW Transmission Devs + Central Highlands hydro) — single user-specified catchment covers all TAS1 sites,(TAS region),,,,,,,,
Greater Southern Offshore Wind,GIP,medium,no_coord_m1_backstop,GIP,medium,,,GIP,Gippsland REZ corridor (Latrobe Valley 500 kV),Greater Southern Offshore,,,,,,,,
Gundary Solar Farm,SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Gundary,,,,,,,,
Joel BESS,WV,high,agree,WV,medium,WV,high,WV,Western Victoria REZ corridor (Bulgana/Ararat/WRL),Joel,296.7,Storage - Battery,Other - Other,ACEnergy Pty Ltd,,,,
Koorangie Energy Storage System,MR,high,boundary_swap_m1_review,CN-VIC,review,MR,high,CN-VIC,"Central North Victoria REZ corridor (Bendigo/Shepparton) — shared keyword across REZs: ['CN-VIC', 'MR']; primary assignment based on substation locality",Koorangie,185.0,Storage - Battery,Other - Other,Shell Energy,,,,
Merino Solar Farm,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Merino,338.0,Solar PV - Fixed,Solar - Solar,Merino Solar Farm Pty Ltd as trustee for Merino Solar Farm Trust,,,,
Molong System Strength Battery Pilot,CWO,medium,no_coord_m1_backstop,CWO,medium,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Molong,,,,,,,,
Mortlake Energy Hub,SW-VIC,high,no_coord_m1_backstop,SW-VIC,high,,,SW-VIC,South-West Victoria REZ corridor (Mortlake/Moorabool/Heywood),Mortlake,333.64,Solar PV - Single axis tracking,Solar - Solar,brightnightpower_NR,,,,
