region,site_name,method_1_catchment,method_1_confidence,method_1_matched_keyword,method_2_catchment,method_2_confidence,method_2_nearest_substation,method_2_distance_km,agree,disagreement_class,disagreement_severity,best_capacity_mw
VIC1,Macarthur Wind Farm,SW-VIC,medium,Macarthur,SW-VIC,high,Macarthur,3.61,Y,,,420.0
VIC1,Malunga BESS - KCI,Unclassified,review,,SW-VIC,medium,Berrybank,22.55,N,excluded_method_1,medium,
VIC1,Malunga Nine Mile BESS - KCI,MR,medium,Malunga Nine Mile,SW-VIC,medium,Berrybank,22.55,N,corridor_misread,high,500.0
VIC1,Mansfield Solar Farm - Solar - KCI,CN-VIC,medium,Mansfield,CN-VIC,medium,Mansfield,1.19,Y,,,350.0
VIC1,Meering BESS,MR,medium,Meering,MR,medium,Kerang,24.06,Y,,,250.0
VIC1,Meering Wind Farm,MR,medium,Meering,MR,medium,Kerang,27.47,Y,,,1500.0
VIC1,Melbourne Renewable Energy Hub,Unclassified,review,,WV,high,Sydenham,6.63,N,excluded_method_1,medium,
VIC1,Melbourne Renewable Energy Hub - Side A,Unclassified,review,,WV,high,Sydenham,6.63,N,excluded_method_1,medium,600.0
VIC1,Melbourne Renewable Energy Hub - Side B,Unclassified,review,,WV,high,Sydenham,6.63,N,excluded_method_1,medium,600.0
VIC1,Melton Renewable Energy Hub,Unclassified,review,,WV,high,Sydenham,6.63,N,excluded_method_1,medium,
VIC1,Mokoan Solar Farm,CN-VIC,medium,Mokoan,CN-VIC,high,Glenrowan,0.9,Y,,,
